Day,S,S',E,E',I,I',R,R'
1,38004527,-2,691,-135,20,136,0,1
2,38004525,-23,556,-87,156,100,1,11
3,38004502,-38,469,-55,256,75,12,18
4,38004464,-49,414,-33,331,59,30,23
5,38004415,-58,381,-17,390,48,53,27
6,38004357,-65,364,-7,438,41,80,31
7,38004292,-71,357,0,479,37,111,34
8,38004221,-77,357,5,516,34,145,36
9,38004144,-82,362,10,550,33,181,39
10,38004062,-87,372,13,583,32,220,41
11,38003975,-92,385,15,615,33,261,43
12,38003883,-97,400,17,648,33,304,46
13,38003786,-102,417,18,681,34,350,48
14,38003684,-107,435,20,715,35,398,51
15,38003577,-112,455,21,750,37,449,53
16,38003465,-118,476,22,787,38,502,56
17,38003347,-123,498,24,825,40,558,58
18,38003224,-129,522,25,865,42,616,61
19,38003095,-136,547,26,907,44,677,64
20,38002959,-142,573,28,951,46,741,67
21,38002817,-149,601,29,997,48,808,71
22,38002668,-156,630,30,1045,51,879,74
23,38002512,-164,660,32,1096,53,953,78
24,38002348,-172,692,33,1149,56,1031,82
25,38002176,-180,725,35,1205,58,1113,86
26,38001996,-189,760,37,1263,61,1199,90
27,38001807,-198,797,39,1324,64,1289,94
28,38001609,-208,836,40,1388,68,1383,99
29,38001401,-218,876,43,1456,71,1482,104
30,38001183,-229,919,45,1527,74,1586,109
31,38000954,-240,964,47,1601,78,1695,114
32,38000714,-251,1011,49,1679,82,1809,119
33,38000463,-264,1060,52,1761,86,1928,125
34,38000199,-277,1112,54,1847,90,2053,131
35,37999922,-290,1166,57,1937,94,2184,138
36,37999632,-304,1223,60,2031,99,2322,145
37,37999328,-319,1283,62,2130,104,2467,152
38,37999009,-335,1345,66,2234,109,2619,159
39,37998674,-351,1411,69,2343,114,2778,167
40,37998323,-368,1480,72,2457,120,2945,175
41,37997955,-386,1552,76,2577,126,3120,184
42,37997569,-405,1628,79,2703,132,3304,193
43,37997164,-425,1707,83,2835,138,3497,202
44,37996739,-445,1790,87,2973,145,3699,212
45,37996294,-467,1877,92,3118,152,3911,222
46,37995827,-490,1969,96,3270,160,4133,233
47,37995337,-514,2065,101,3430,168,4366,245
48,37994823,-539,2166,106,3598,176,4611,257
49,37994284,-565,2272,111,3774,184,4868,269
50,37993719,-593,2383,116,3958,193,5137,282
51,37993126,-622,2499,122,4151,203,5419,296
52,37992504,-652,2621,128,4354,213,5715,311
53,37991852,-684,2749,135,4567,223,6026,326
54,37991168,-718,2884,141,4790,234,6352,342
55,37990450,-753,3025,148,5024,246,6694,358
56,37989697,-790,3173,155,5270,258,7052,376
57,37988907,-828,3328,163,5528,270,7428,394
58,37988079,-869,3491,171,5798,284,7822,414
59,37987210,-911,3662,179,6082,297,8236,434
60,37986299,-956,3841,188,6379,312,8670,455
61,37985343,-1003,4029,197,6691,327,9125,477
62,37984340,-1052,4226,206,7018,343,9602,501
63,37983288,-1103,4432,217,7361,360,10103,525
64,37982185,-1157,4649,227,7721,378,10628,551
65,37981028,-1214,4876,238,8099,396,11179,578
66,37979814,-1273,5114,250,8495,416,11757,606
67,37978541,-1335,5364,262,8911,436,12363,636
68,37977206,-1401,5626,275,9347,457,12999,667
69,37975805,-1469,5901,289,9804,479,13666,700
70,37974336,-1541,6190,303,10283,503,14366,734
