Day,S,S',E,E',I,I',R,R'
1,38000223,-1,5000,-998,10,999,5,0
2,38000222,-151,4002,-649,1009,728,5,72
3,38000071,-260,3353,-410,1737,546,77,124
4,37999811,-342,2943,-246,2283,425,201,163
5,37999469,-406,2697,-133,2708,345,364,193
6,37999063,-457,2564,-54,3053,294,557,218
7,37998606,-501,2510,0,3347,262,775,239
8,37998105,-541,2510,39,3609,244,1014,257
9,37997564,-577,2549,68,3853,234,1271,275
10,37996987,-612,2617,89,4087,231,1546,291
11,37996375,-647,2706,106,4318,232,1837,308
12,37995728,-682,2812,119,4550,237,2145,325
13,37995046,-717,2931,131,4787,244,2470,341
14,37994329,-754,3062,142,5031,253,2811,359
15,37993575,-792,3204,151,5284,263,3170,377
16,37992783,-831,3355,160,5547,274,3547,396
17,37991952,-872,3515,169,5821,287,3943,415
18,37991080,-915,3684,179,6108,300,4358,436
19,37990165,-960,3863,188,6408,314,4794,457
20,37989205,-1007,4051,197,6722,330,5251,480
21,37988198,-1057,4248,207,7052,345,5731,503
22,37987141,-1109,4455,218,7397,362,6234,528
23,37986032,-1163,4673,228,7759,380,6762,554
24,37984869,-1220,4901,239,8139,398,7316,581
25,37983649,-1279,5140,251,8537,418,7897,609
26,37982370,-1342,5391,264,8955,438,8506,639
27,37981028,-1408,5655,277,9393,460,9145,670
28,37979620,-1476,5932,290,9853,482,9815,703
29,37978144,-1549,6222,304,10335,506,10518,738
30,37976595,-1624,6526,319,10841,530,11256,774
31,37974971,-1704,6845,335,11371,556,12030,812
32,37973267,-1787,7180,351,11927,584,12842,851
33,37971480,-1874,7531,368,12511,612,13693,893
34,37969606,-1966,7899,386,13123,642,14586,937
35,37967640,-2062,8285,405,13765,673,15523,983
36,37965578,-2163,8690,425,14438,706,16506,1031
37,37963415,-2269,9115,446,15144,741,17537,1081
38,37961146,-2379,9561,467,15885,777,18618,1134
39,37958767,-2496,10028,490,16662,815,19752,1190
40,37956271,-2618,10518,514,17477,855,20942,1248
41,37953653,-2746,11032,539,18332,896,22190,1309
42,37950907,-2880,11571,565,19228,940,23499,1373
43,37948027,-3020,12136,593,20168,986,24872,1440
44,37945007,-3168,12729,622,21154,1034,26312,1511
45,37941839,-3322,13351,652,22188,1085,27823,1584
46,37938517,-3484,14003,684,23273,1138,29407,1662
47,37935033,-3654,14687,717,24411,1193,31069,1743
48,37931379,-3833,15404,752,25604,1251,32812,1828
49,37927546,-4020,16156,788,26855,1312,34640,1918
50,37923526,-4215,16944,827,28167,1376,36558,2011
51,37919311,-4421,17771,867,29543,1443,38569,2110
52,37914890,-4636,18638,909,30986,1514,40679,2213
53,37910254,-4862,19547,953,32500,1587,42892,2321
54,37905392,-5099,20500,999,34087,1665,45213,2434
55,37900293,-5347,21499,1048,35752,1746,47647,2553
56,37894946,-5608,22547,1098,37498,1830,50200,2678
57,37889338,-5881,23645,1152,39328,1919,52878,2809
58,37883457,-6167,24797,1207,41247,2013,55687,2946
59,37877290,-6467,26004,1266,43260,2110,58633,3090
60,37870823,-6781,27270,1327,45370,2213,61723,3240
